城市,地址,社區,房價(萬)/坪,平均坪數
Taipei-city,博愛路２２１號,松濤苑,252.5,None
Taipei-city,忠孝東路五段２３６巷５８號,皇翔御琚,220.9,240
Taipei-city,松勇路１５號,信義富邦,199.7,166
Taipei-city,慶城街５５號,東方文華苑,192.7,382
Taipei-city,明水路４８６號,輕井澤,183,108
Taipei-city,仁愛路三段３３號,仁愛一品,180.7,None
Taipei-city,信義路三段５９號,勤美樸真,178.8,None
Taipei-city,植福路//樂群二路,西華富邦,177.5,None
Taipei-city,信義路三段１７號,安峰,175.9,122
Taipei-city,仁愛路三段１４２號,名人儷宮,160.4,None
Taipei-city,松勇路６９巷２號,台北信義,158.4,127
Taipei-city,和平東路一段//金山南路二段,和平大苑,157.5,None
Taipei-city,愛國西路３０號,元大一品苑,150,167
Taipei-city,松平路８７號,國泰信義富鼎,147.7,165
Taipei-city,天母東路８號,華固天鑄,146.8,None
Taipei-city,松勤街１０５號,御之苑,145.8,198
Taipei-city,松智路１４號,信義之星,143.9,143
Taipei-city,忠孝東路五段//松德路,國家藝術館,137.8,186
Taipei-city,瑞安街１３５巷２７號,瑞安璞石,136.9,None
Taipei-city,樂群二路２６６巷１１０號,帝景水花園三期,136.5,134
Taipei-city,信義路五段９１巷２號,寶徠花園廣場,136.2,98
Taipei-city,信義路二段１１６號,京華苑,135,53
Taipei-city,大安路一段２０２號,仁愛A+,134.5,None
Taipei-city,松勤街９號,新世界,133.6,22
Taipei-city,仁愛路四段４０號,仁愛敦南,131.4,None
Taipei-city,明水路３９９號,吉光片羽,130.6,71
Taipei-city,明水路３９７巷２０號,忠泰園舞曲,129,90
Taipei-city,明水路３９７巷１８弄２號,忠泰風格,128.1,62
Taipei-city,信義路五段９５號,冠德遠見,126.9,None
Taipei-city,基湖路１５７巷１號,帝景水花園二期,126.3,99
Taipei-city,信義路二段２５９號,PARK259,126.1,None
Taipei-city,松勇路//信義路五段,冠德領袖,125,87
Taipei-city,中山北路一段１０９號,醇建築,124.6,None
Taipei-city,永吉路３０巷１０２弄１９號,品信義,124,None
Taipei-city,信義路三段１０５號,菁選集,123.8,11
Taipei-city,永吉路２２５巷２７號,築青庭,123.8,34
Taipei-city,和平東路一段１８５號,八十里,122.6,23
Taipei-city,光復南路３１８號,蓮潑葉,122.5,None
Taipei-city,敦化南路一段７７號,敦南樞苑,122.3,None
Taipei-city,永康街７５巷８號,國際新生代,121.2,None
Taipei-city,仁愛路四段４３２號,翠亨華廈,121.1,None
Taipei-city,仁愛路三段１２５號,康莊大廈,120.5,54
Taipei-city,仁愛路二段４０號,仁愛御林園,120.5,135
Taipei-city,南京東路五段//光復北路,嘉華聯合華廈,120.4,None
Taipei-city,仁愛路四段５０號,華美聯合大廈,120.1,None
Taipei-city,溫州街２２巷５號,領袖大樓,119.4,None
Taipei-city,松仁路１４８號,基泰信義,119.4,102
Taipei-city,逸仙路２８號,逸安大廈,118.8,54
Taipei-city,金華街１２２號,國美隱哲,118.1,107
Taipei-city,信義路三段１５２巷７號,信義大安,117.4,None
Taipei-city,忠孝東路五段３５３號,EAT時尚館,117.3,17
Taipei-city,信義路二段１４７號,大安琉御,116.8,63
Taipei-city,松勤街//松仁路,維多利亞,115.8,76
Taipei-city,仁愛路四段４５４號,逸仙名宮,115.5,45
Taipei-city,瑞安街２５６巷２４號,琉璃藏,114.5,None
Taipei-city,臨沂街６１巷２號,皇翔御郡,114.1,None
Taipei-city,樂群二路５６號,良茂京都宴,114,141
Taipei-city,永康街４巷６號,永康紀,113.7,None
Taipei-city,信義路二段１７５號,信義永康,113.6,44
Taipei-city,和平東路二段９６巷５１號,大安fantasy,113.4,9
Taipei-city,信義路二段７９巷１９號,虹廷臻鼎,113.2,None
Taipei-city,新生南路一段１６０巷１０號,非非想,112.7,None
Taipei-city,忠孝東路五段４５１號,EAT國際館,112.6,16
Taipei-city,信義路四段３８２號,謙華,112.3,None
Taipei-city,逸仙路３６號,翠亨村,112,55
Taipei-city,忠孝東路二段１２６號,元亨無界,111.9,38
Taipei-city,臨沂街２９巷６號,寬心富謙,111.9,None
Taipei-city,復興南路二段９０巷１２號,美麗佳人,111.7,17
Taipei-city,敦化北路２４４巷３號,涵峰,111.7,113
Taipei-city,信義路四段３３５巷１１號,璞真仰心,111.6,77
Taipei-city,信義路四段５３巷１６號,附中典範,111.3,None
Taipei-city,仁愛路三段２８號,國泰華府大廈,111.2,36
Taipei-city,瑞安街１４２巷６號,大安AIT,111.1,43
Taipei-city,光復南路２６０巷７號,元大玖藏,110.9,62
Taipei-city,明水路５２６巷５０號,達麗花園,110.8,None
Taipei-city,金山南路二段２０３巷３號,麗水花園,110.4,60
Taipei-city,師大路１０５巷１６號,師大SOFA,110.4,None
Taipei-city,光復南路２４０巷４８號,雅宴 La Vie,110.3,24
Taipei-city,信義路一段//紹興南街,石園新城,109.4,34
Taipei-city,忠孝東路四段５１號,太平洋忠孝大廈,109.3,None
Taipei-city,瑞安街８１巷１６號,瑞安惟瓦地,109.1,None
Taipei-city,市民大道三段//建國南路一段,明日博,109.1,None
Taipei-city,仁愛路二段８巷６號,閱狷聲,109.1,None
Taipei-city,羅斯福路一段６７號,璞趣,109,None
Taipei-city,信義路四段２４８號,信義台興,108.8,35
Taipei-city,信義路二段１６１巷８號,信義路VISTA,108.7,None
Taipei-city,逸仙路４２巷１號,逸仙傳奇,108.7,None
Taipei-city,安和路一段//安和路,卡納琳大廈,108.5,40
Taipei-city,明水路５２６巷１號,明水御,108.3,66
Taipei-city,敬業三路１７７巷１號,地天泰,108.2,117
Taipei-city,和平東路一段１１９巷１８號,師大居藝,108.1,45
Taipei-city,中山北路七段８１巷２８弄６號,天母紘琚,107.7,225
Taipei-city,羅斯福路三段//辛亥路一段,台大OPUS ONE,107.6,None
Taipei-city,松高路８６號,維也納,107.4,None
Taipei-city,杭州南路一段１３１巷７號,茵譜,107.3,None
Taipei-city,金山南路二段２５號,愛瑪仕,107,67
Taipei-city,樂群二路１１６巷６１弄２５號,明水上東,107,None
Taipei-city,八德路二段３９３號,敦化雅極,106.8,19
Taipei-city,新生南路一段１６１巷１８號,大安優境,106.6,None
Taipei-city,建國南路一段１５２號,華格納,106.5,54
Taipei-city,仁愛路四段５１６號,仁愛逸仙,106.5,None
Taipei-city,羅斯福路三段２１６號,台大美學院,106.4,61
Taipei-city,仁愛路二段１６號,上海商銀仁愛大廈,106.4,None
Taipei-city,松德路１３５號,國美國家美術館,106,201
Taipei-city,忠孝東路五段２３８號,元大101,105.9,None
Taipei-city,信義路三段１５６號,信義翡麗,105.7,18
Taipei-city,瑞安街８１巷１２弄１６號,瑞安懷石A區,105.7,None
Taipei-city,羅斯福路二段１１１號,墨花香,105.6,None
Taipei-city,臨沂街３３巷３３號,和旺雙沂,105.4,None
Taipei-city,樂群二路１１６巷３３號,國美大真,105.1,None
Taipei-city,青田街７巷１８號,青田大師,105.1,92
Taipei-city,信義路二段５２號,信義美學,104.6,None
Taipei-city,朱崙街５０號,達官苑,104.1,None
Taipei-city,松德路１８２號,2001廣場,104,42
Taipei-city,朱崙街//龍江路,鈞藏,103.9,None
Taipei-city,光復南路６３０號,昇陽GRAND,103.7,46
Taipei-city,泰安街//金山南路一段,泰安連雲-接雲樓,103.2,None
Taipei-city,南昌路一段８３號,檀廂,103.2,None
Taipei-city,忠孝東路五段２３６巷４３號,冠德花園城堡,102.9,46
Taipei-city,臨沂街５９號,峰墅,102.9,63
Taipei-city,信義路二段１３４號,信義華府,102.8,52
Taipei-city,信義路二段８６巷２７號,中正豪園,102.7,80
Taipei-city,仁愛路四段１１５號,陛廈,102.6,71
Taipei-city,南京東路四段５２巷８號,敦悅,102.5,35
Taipei-city,杭州北路１８號,國泰賦格,102.5,None
Taipei-city,永康街７巷１９號,信義新象,102.3,70
Taipei-city,內湖路一段４１１巷６６號,長虹天璽,102.2,147
Taipei-city,忠孝東路五段２７５巷７弄２號,表參道,101.8,None
Taipei-city,羅斯福路三段//浦城街,耕曦,101.8,47
Taipei-city,和平東路一段１９９巷７號,大安青田,101.7,27
Taipei-city,羅斯福路二段８巷５號,謙邸,101.7,None
Taipei-city,仁愛路四段//光復南路,仁愛麗景,101.5,None
Taipei-city,羅斯福路二段８１巷８號,大安晶華,101.5,14
Taipei-city,潮州街６０巷７號,大安拙石,101.4,12
Taipei-city,忠孝東路五段３１巷１８弄１７號,無爭,101.4,17
Taipei-city,忠孝東路三段//建國南路一段,曼哈頓,101.2,110
Taipei-city,忠孝東路四段７０號,香苑,101.1,None
Taipei-city,羅斯福路二段８巷８號,中正菁英,101.1,None
Taipei-city,天母西路１１７巷３２弄５號,木蘭居-B座,101.1,None
Taipei-city,潮州街８４號,大安BINGO,101.1,12
Taipei-city,八德路三段２１８號,時尚高第,100.9,17
Taipei-city,新生南路三段１１巷１０號,大安御品,100.9,None
Taipei-city,和平東路二段７６巷２３弄６號,愛因斯坦,100.8,87
Taipei-city,和平東路二段１０７巷１８號,大安麗緻,100.7,12
Taipei-city,敦化北路１５５巷１００弄６號,潤泰敦品,100.6,120
Taipei-city,新生南路二段６０號,新生大樓,100.5,55
Taipei-city,基隆路一段１３１號,世貿國際商旅V1,100.3,None
Taipei-city,臨沂街４１號,仁愛葉慈,100.3,None
Taipei-city,仁愛路四段４１０號,中山仁愛,100.1,None
Taipei-city,中山北路七段８７號,國泰天母,100.1,None
Taipei-city,復興南路一段１０７巷５弄１號,大安鼎好,100,None
Taipei-city,潮州街５５巷３號,大安優閱,99.8,None
Taipei-city,忠孝東路四段３０５號,英倫大廈,99.4,22
Taipei-city,復興南路二段//四維路,復興安邑,99.4,None
Taipei-city,潮州街６０巷１０弄２號,錦繡金華,99.3,8
Taipei-city,和平東路一段１２１號,大安麗水,98.8,49
Taipei-city,松德路１９６號,信義錄,98.8,47
Taipei-city,仁愛路三段１１８巷１２弄８號,太子哈佛,98.8,47
Taipei-city,瑞安街２５６巷８號,大安布朗亨,98.6,67
Taipei-city,南京東路三段４８巷３６號,圓頂世紀會館,98.5,98
Taipei-city,羅斯福路三段２７５號,閱讀台大,98.5,38
Taipei-city,忠孝東路五段２３６巷２１號,國美信義花園,98.4,70
Taipei-city,敦化南路二段//敦化南路//四維路,藍天凱悅,98.3,57
Taipei-city,松江路//建國北路二段,新光桂冠,98.3,50
Taipei-city,仁愛路二段６號,禮藏,98.2,None
Taipei-city,臨沂街１２號,臨沂鴻禧,97.9,62
Taipei-city,光復南路１８０巷２號,浩然大廈,97.9,62
Taipei-city,羅斯福路三段２８３巷１４弄２之１號,台大御璽,97.9,None
Taipei-city,光復南路//基隆路二段,W110,97.9,20
Taipei-city,復興南路一段//敦化南路//大安路一段//忠孝東路四段,歌林大廈,97.8,None
Taipei-city,羅斯福路三段１７７號,師大卡第兒,97.8,None
Taipei-city,忠孝東路四段//敦化南路,華新大樓,97.7,None
Taipei-city,永康街７５巷７號,永康青田,97.7,None
Taipei-city,信義路三段３號,大安森活,97.6,34
Taipei-city,信義路三段４３號,信義大樓,97.6,45
Taipei-city,復興北路３１３巷４０號,德璞十九章,97.5,None
Taipei-city,仁愛路四段３８６號,仁愛三普,97.4,43
Taipei-city,仁愛路四段//大安路一段,宏欣大樓,97.4,None
Taipei-city,復興南路一段//復興南路//大安路一段,國泰景園大廈,97.3,30
Taipei-city,光復南路３９０號,永大花園大廈,97,None
Taipei-city,大安路二段６２號,大安薈館,96.9,33
Taipei-city,大安路二段１０８號,大安富豪,96.8,None
Taipei-city,安和路一段//仁愛路四段//安和路,國產實業仁愛華廈,96.8,None
Taipei-city,羅斯福路三段３１６巷３號,匯台大,96.8,None
Taipei-city,敦化南路一段//敦化南路,國泰一品大樓,96.6,83
Taipei-city,忠孝東路四段６０號,彩虹園,96.3,34
Taipei-city,南昌路一段７之１號,九昱小官邸,96.3,15
Taipei-city,忠孝東路四段３０８號,光復大樓,96.2,None
Taipei-city,長春路１５８號,力麒京王,96.2,83
Taipei-city,信義路三段１０２號,國際虹邦,96.1,30
Taipei-city,復興南路一段８５號,小雅名品大廈,96.1,27
Taipei-city,北安路６０８巷１０號,PARK 608,96.1,93
Taipei-city,和平東路一段２４８巷２號,師大林園,96,55
Taipei-city,信義路四段１６號,家美大廈,95.9,None
Taipei-city,南京東路四段２３號,青木淳,95.9,9
Taipei-city,仁愛路四段１１０號,老爺大廈,95.8,60
Taipei-city,忠孝東路四段//復興南路一段,仁愛御品,95.8,None
Taipei-city,光復南路２９０巷２６號,國硯,95.8,None
Taipei-city,仁愛路四段２７巷４弄６號,家齊大廈,95.7,None
Taipei-city,仁愛路四段６２號,亞洲大廈,95.7,None
Taipei-city,仁愛路四段//大安路一段,仁愛大廈,95.6,None
Taipei-city,南京西路１８巷６號,中山美學(M1),95.6,None
Taipei-city,溫州街１１巷２號,溫州璞園,95.5,50
Taipei-city,南昌路一段１２４號,中正模範生,95.5,12
Taipei-city,和平東路二段１８巷５號,大安森學苑,95.5,113
Taipei-city,安和路一段//安和路,國揚安和,95.4,48
Taipei-city,建國南路二段１７５號,再興園華廈,95.4,None
Taipei-city,遼寧街１３９號,俠隱,95.4,None
Taipei-city,敦化南路二段６３巷６８號,敦和豔,95.4,None
Taipei-city,中山北路七段８１巷７號,天母星鑽,95.3,91
Taipei-city,敦南街５７號,小敦藏,95.2,None
Taipei-city,中山北路六段３７號,國揚天母,95.1,None
Taipei-city,民權東路一段７７號,忠泰M,95,66
Taipei-city,長春路３０６號,華爾道夫一期,94.9,77
Taipei-city,敦化南路二段//敦化南路//復興南路二段//四維路//大安路二段,鑽石雙星,94.6,77
Taipei-city,新生南路一段１０３巷１４號,松鶴邸,94.6,None
Taipei-city,和平東路一段５０巷３號,RICH麗池,94.5,11
Taipei-city,敦化南路一段３５６號,敦南大廈,94.4,54
Taipei-city,明水路５９０號,明水富御,94.4,None
Taipei-city,忠孝東路四段２號,東方大廈,94.3,22
Taipei-city,天母東路８巷５８號,天美奇跡,94.3,55
Taipei-city,敦化南路一段//敦化南路//四維路,蘭沁大樓,94.3,49
Taipei-city,南京東路三段８９巷２７弄１號,雙橡園,94.2,77
Taipei-city,忠孝東路四段５１２號,國泰明園,94,53
Taipei-city,新生南路二段３０巷２５號,昇陽金華,93.9,None
Taipei-city,信義路五段//松勤街,yes世貿,93.9,None
Taipei-city,敬業三路１５３號,皇后大道-公爵&尊爵,93.7,73
Taipei-city,基隆路二段７９巷３０弄１號,信義世爵,93.7,27
Taipei-city,明水路３９７巷７弄１７號,戀戀大直一期,93.6,41
Taipei-city,仁愛路四段//敦化南路一段//敦化南路//忠孝東路四段,忠孝名家,93.6,30
Taipei-city,安和路二段//安和路,翠峰,93.6,32
Taipei-city,仁愛路二段９１巷７號,仁愛御璽,93.6,None
Taipei-city,師大路５０號,師大BLOG,93.6,None
Taipei-city,師大路５９巷９號,師大.COM,93.5,None
Taipei-city,南昌路一段２４巷７號,領show,93.4,None
Taipei-city,四維路１７０巷２號,向陽門第,93.3,55
Taipei-city,安和路一段//仁愛路四段//安和路,清華,93.3,None
Taipei-city,仁愛路四段９９號,萬代福大樓,93.2,42
Taipei-city,復興南路一段//忠孝東路四段,頂好花園大廈,93.1,20
Taipei-city,南京東路五段//三民路,藏富,93.1,76
Taipei-city,敦化北路１５５巷７８號,敦化新城丁標,93,52
Taipei-city,仁愛路二段６１號,仁愛鴻禧,92.9,109
Taipei-city,和平東路二段１０７巷２９號,林與堂,92.9,40
Taipei-city,敦化南路一段//敦化南路//八德路//四維路,金蘭大樓,92.8,None
Taipei-city,金山南路一段１６號,臨沂馥玉,92.6,None
Taipei-city,天玉街１１３號,家居雲門,92.6,62
Taipei-city,永吉路３０巷１０１弄１號,國美商隱,92.4,62
Taipei-city,忠孝東路三段２４８巷１９弄５０號,忠孝BR5,92.4,None
Taipei-city,永康街７６號,師大隱,92.3,60
Taipei-city,和平東路一段６６號,師大名園大廈,92.1,24
Taipei-city,臨沂街１０巷７號,臨沂豐華,92.1,None
Taipei-city,大安路一段//仁愛路四段,來來名人大樓,92,38
Taipei-city,敦化南路一段//敦化南路//四維路,白宮,92,25
Taipei-city,敦化南路一段//敦化南路,吉星大樓,92,40
Taipei-city,忠孝東路四段１００號,漢宮大廈,92,30
Taipei-city,師大路８０巷１６號,師大紀德,91.8,None
Taipei-city,光復南路２９２號,博愛廣場大廈,91.8,None
Taipei-city,信義路六段１５巷１４號,太陽磁場,91.7,53
Taipei-city,吉林路８號,華固鼎苑,91.7,None
Taipei-city,信義路四段//文昌街,曼哈頓,91.6,None
Taipei-city,基隆路二段１８８號,敦南小凱悅,91.6,11
Taipei-city,仁愛路二段８７號,仁愛築綠,91.5,145
Taipei-city,敦化南路一段//忠孝東路四段,國際貿易大樓,91.5,None
Taipei-city,松平路３０巷３號,信義CEO,91.4,22
Taipei-city,南京東路三段３０３巷７弄５號,龍華園,91.3,49
